customer_id,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn,split,has_international_plan,has_voice_mail_plan,total_minutes,total_calls,total_charges,avg_charge_per_minute,support_call_rate,high_service_calls,usage_intensity,customer_value_segment,rule_based_churn_risk_score,rule_based_churn_risk_level
CUST_000022,NE,174,415,No,No,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,0,train,0,0,667.6,308,60.15,0.0900988615937687,0.0172413793103448,0,high_usage,medium_value,10,low
CUST_000023,WY,57,408,No,Yes,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,0,train,0,1,596.3,345,63.24,0.1060539996645983,0.0,0,medium_usage,medium_value,0,low
CUST_000024,MT,54,408,No,No,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,0,train,0,0,406.6,245,44.61,0.1097147073290703,0.0555555555555555,0,low_usage,low_value,10,low
CUST_000025,MO,20,415,No,No,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,0,train,0,0,636.0,301,64.12,0.1008176100628931,0.0,0,high_usage,high_value,10,low
CUST_000026,IL,142,415,No,No,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,0,train,0,0,486.2,312,41.14,0.0846153846153846,0.0140845070422535,0,low_usage,low_value,10,low
CUST_000027,NH,75,510,No,No,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,0,train,0,0,684.0999999999999,315,69.42999999999999,0.1014910100862447,0.0133333333333333,0,high_usage,high_value,25,low
CUST_000028,LA,172,408,No,No,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,0,train,0,0,549.1,324,55.29,0.1006920415224913,0.0174418604651162,0,low_usage,medium_value,10,low
CUST_000029,AZ,12,408,No,No,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,1,train,0,0,794.0,330,79.67999999999999,0.100352644836272,0.0833333333333333,0,high_usage,high_value,25,low
CUST_000030,OK,57,408,No,Yes,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,0,train,0,1,593.5999999999999,289,58.49,0.0985343665768194,0.0,0,medium_usage,medium_value,0,low
CUST_000031,GA,72,415,No,Yes,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,0,train,0,1,604.8000000000001,259,66.72,0.1103174603174603,0.0416666666666666,0,medium_usage,high_value,15,low
CUST_000032,MA,78,415,No,No,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,0,train,0,0,592.3,293,54.2,0.091507681917947,0.0128205128205128,0,medium_usage,low_value,10,low
CUST_000033,AK,136,415,Yes,Yes,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,0,train,1,1,503.7,318,58.03,0.1152074647607703,0.0220588235294117,0,low_usage,medium_value,20,low
CUST_000034,NJ,149,408,No,No,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1,0,train,0,0,611.6,303,58.44,0.0955526487900588,0.0067114093959731,0,medium_usage,medium_value,10,low
CUST_000035,GA,98,408,No,No,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,0,train,0,0,490.3,324,46.63999999999999,0.0951254334081174,0.0306122448979591,0,low_usage,low_value,10,low
CUST_000036,MD,135,408,Yes,Yes,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,1,train,1,1,513.8,285,56.2,0.1093810821331257,0.0,0,low_usage,medium_value,20,low
CUST_000037,AR,34,510,No,No,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,0,train,0,0,728.5,262,61.92999999999999,0.0850102951269732,0.0588235294117647,0,high_usage,medium_value,10,low
CUST_000038,ID,160,415,No,No,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,0,train,0,0,438.8,283,39.15,0.0892206016408386,0.01875,0,low_usage,low_value,10,low
CUST_000039,WI,64,510,No,No,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,0,train,0,0,648.6,274,58.260000000000005,0.0898242368177613,0.015625,0,high_usage,medium_value,10,low
CUST_000040,OR,59,408,No,Yes,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,0,train,0,1,505.5,310,48.3,0.0955489614243323,0.0338983050847457,0,low_usage,low_value,0,low
CUST_000041,DE,142,408,No,No,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,0,train,0,0,571.1999999999999,339,56.13,0.098266806722689,0.0140845070422535,0,medium_usage,medium_value,10,low
CUST_000042,WY,97,415,No,Yes,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,0,train,0,1,432.0,275,47.25,0.109375,0.0103092783505154,0,low_usage,low_value,0,low
CUST_000043,IA,52,408,No,No,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,0,train,0,0,706.3,296,68.32,0.0967294350842418,0.0576923076923076,0,high_usage,high_value,25,low
CUST_000044,IN,60,408,No,No,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,0,train,0,0,687.5,304,68.49000000000001,0.0996218181818182,0.0166666666666666,0,high_usage,high_value,25,low
CUST_000045,UT,96,415,No,No,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,0,train,0,0,665.5,257,62.76,0.094305033809166,0.0208333333333333,0,high_usage,medium_value,10,low
CUST_000046,WY,87,415,No,No,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,1,train,0,0,584.3000000000001,329,56.14,0.0960807804210165,0.057471264367816,1,medium_usage,medium_value,45,medium
CUST_000047,IN,81,408,No,No,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,0,train,0,0,705.2,253,65.94,0.0935053885422575,0.0123456790123456,0,high_usage,high_value,10,low
CUST_000048,CO,141,415,No,No,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,0,train,0,0,455.7,290,45.370000000000005,0.099561114768488,0.0070921985815602,0,low_usage,low_value,10,low
CUST_000049,CO,121,408,No,Yes,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,1,train,0,1,460.7,286,49.85,0.1082049055784675,0.024793388429752,0,low_usage,low_value,0,low
CUST_000050,OK,125,408,No,No,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,0,train,0,0,608.0,332,65.82,0.1082565789473684,0.008,0,medium_usage,high_value,10,low
CUST_000051,ID,174,408,No,No,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,0,train,0,0,540.0,249,57.67999999999999,0.1068148148148148,0.0057471264367816,0,low_usage,medium_value,10,low
CUST_000052,CA,116,415,No,Yes,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,0,train,0,1,624.7,334,71.41999999999999,0.1143268769009124,0.0172413793103448,0,medium_usage,high_value,15,low
CUST_000053,SD,149,408,No,Yes,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,0,train,0,1,646.6,212,62.03,0.0959325703680791,0.0201342281879194,0,high_usage,medium_value,0,low
CUST_000054,NC,38,408,No,No,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2,0,train,0,0,461.3,307,45.51,0.0986559722523303,0.0526315789473684,0,low_usage,low_value,10,low
CUST_000055,WA,40,415,No,Yes,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,0,train,0,1,537.9000000000001,269,50.89000000000001,0.0946086633203197,0.05,0,low_usage,low_value,0,low
CUST_000056,WY,43,415,Yes,No,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,0,train,1,0,631.4,280,70.46,0.1115932847640164,0.0,0,high_usage,high_value,45,medium
CUST_000057,MN,113,408,Yes,No,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,0,train,1,0,469.2000000000001,359,46.88,0.0999147485080989,0.0,0,low_usage,low_value,30,low
CUST_000058,UT,126,408,No,No,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,0,train,0,0,589.8,211,63.42999999999999,0.1075449304849101,0.0079365079365079,0,medium_usage,medium_value,10,low
CUST_000059,TX,150,510,No,No,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,1,train,0,0,510.4,314,55.2,0.1081504702194357,0.0266666666666666,1,low_usage,medium_value,45,medium
CUST_000060,NJ,138,408,No,No,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,0,train,0,0,719.4,287,72.08,0.1001946066166249,0.0217391304347826,0,high_usage,high_value,25,low
CUST_000061,MN,162,510,No,Yes,46,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0,0,train,0,1,679.8000000000001,244,68.96,0.1014416004707266,0.0,0,high_usage,high_value,15,low
CUST_000062,NM,147,510,No,No,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3,0,train,0,0,578.0,281,64.84,0.1121799307958477,0.0204081632653061,0,medium_usage,high_value,10,low
CUST_000063,NV,90,415,No,No,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,0,train,0,0,589.8,372,62.67999999999999,0.1062733129874533,0.0111111111111111,0,medium_usage,medium_value,10,low
CUST_000064,MN,50,415,No,No,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,0,train,0,0,567.9,275,55.49999999999999,0.097728473322768,0.02,0,medium_usage,medium_value,10,low
CUST_000065,DC,82,415,No,No,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,1,train,0,0,763.1000000000001,286,81.75,0.1071288166688507,0.0,0,high_usage,high_value,25,low
CUST_000066,NY,144,408,No,No,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,1,train,0,0,319.9,308,27.02,0.0844638949671772,0.0277777777777777,1,low_usage,low_value,45,medium
CUST_000067,MD,70,408,No,No,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1,0,train,0,0,569.0,278,56.46,0.0992267135325131,0.0142857142857142,0,medium_usage,medium_value,10,low
CUST_000068,WV,144,415,No,No,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,0,train,0,0,741.8000000000001,294,73.63,0.0992585602588298,0.0069444444444444,0,high_usage,high_value,25,low
CUST_000069,OR,116,415,Yes,No,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,0,train,1,0,711.3000000000001,297,69.96000000000001,0.0983551244200759,0.0258620689655172,0,high_usage,high_value,45,medium
CUST_000070,CO,55,408,No,Yes,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3,0,train,0,1,488.4,310,50.6,0.1036036036036036,0.0545454545454545,0,low_usage,low_value,0,low
CUST_000071,GA,70,415,No,Yes,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,0,train,0,1,741.6999999999999,271,77.16000000000001,0.1040312794930565,0.0142857142857142,0,high_usage,high_value,15,low
CUST_000072,TX,106,510,No,No,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,1,train,0,0,663.5999999999999,270,68.94,0.1038878842676311,0.0188679245283018,0,high_usage,high_value,25,low
CUST_000073,IN,94,408,No,No,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,1,train,0,0,510.5,295,50.71,0.0993339862879529,0.0425531914893617,1,low_usage,low_value,45,medium
CUST_000074,WV,111,510,No,No,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,0,train,0,0,617.2,294,65.6,0.1062864549578742,0.009009009009009,0,medium_usage,high_value,10,low
CUST_000075,KY,74,415,No,Yes,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,0,train,0,1,490.5,254,48.72,0.0993272171253822,0.027027027027027,0,low_usage,low_value,0,low
CUST_000076,NJ,128,415,No,No,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,1,train,0,0,708.3,290,74.64,0.1053790766624311,0.0078125,0,high_usage,high_value,25,low
CUST_000077,DC,82,510,No,No,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,0,train,0,0,459.5,262,48.96,0.106550598476605,0.0121951219512195,0,low_usage,low_value,10,low
CUST_000078,AR,80,415,No,No,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,0,train,0,0,558.4,278,49.36000000000001,0.0883954154727793,0.0125,0,medium_usage,low_value,10,low
CUST_000079,ME,78,415,No,No,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,0,train,0,0,704.7,317,72.6,0.1030225627926777,0.0384615384615384,0,high_usage,high_value,25,low
CUST_000080,AZ,90,415,No,No,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,0,train,0,0,508.0,250,55.26,0.1087795275590551,0.0333333333333333,0,low_usage,medium_value,10,low
CUST_000081,AK,104,408,No,No,0,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65,1,0,train,0,0,532.3999999999999,361,64.21000000000001,0.1206048084147258,0.0096153846153846,0,low_usage,high_value,10,low
CUST_000082,AZ,99,415,No,No,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,0,train,0,0,605.1,279,62.25000000000001,0.1028755577590481,0.0404040404040404,1,medium_usage,medium_value,45,medium
CUST_000083,MS,120,408,No,No,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,1,train,0,0,594.0,336,62.81,0.1057407407407407,0.0083333333333333,0,medium_usage,medium_value,10,low
CUST_000084,IA,98,510,No,Yes,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,0,train,0,1,577.9999999999999,297,57.24,0.0990311418685121,0.0408163265306122,1,medium_usage,medium_value,35,medium
CUST_000085,VT,135,415,No,No,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,0,train,0,0,461.2,293,46.85,0.1015828274067649,0.0,0,low_usage,low_value,10,low
CUST_000086,IN,122,408,No,No,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,0,train,0,0,604.0999999999999,280,57.99,0.0959940407217348,0.0081967213114754,0,medium_usage,medium_value,10,low
CUST_000087,AZ,95,408,No,No,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4,0,train,0,0,627.0999999999999,282,68.13,0.1086429596555573,0.0421052631578947,1,medium_usage,high_value,60,medium
CUST_000088,NM,93,510,No,Yes,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1,0,train,0,1,509.2,335,46.42999999999999,0.0911822466614296,0.010752688172043,0,low_usage,low_value,0,low
CUST_000089,UT,157,408,No,No,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,0,train,0,0,628.7,326,65.09,0.1035310959121997,0.019108280254777,0,high_usage,high_value,10,low
CUST_000090,MI,120,408,No,No,0,165.0,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,0,train,0,0,609.6999999999999,277,62.61000000000001,0.1026898474659668,0.0083333333333333,0,medium_usage,medium_value,10,low
CUST_000091,MA,103,415,No,No,0,185.0,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,0,train,0,0,643.7,304,63.86,0.0992077054528507,0.0194174757281553,0,high_usage,high_value,10,low
CUST_000092,AL,98,408,No,No,0,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,0,train,0,0,591.6999999999999,347,57.120000000000005,0.0965354064559743,0.0408163265306122,1,medium_usage,medium_value,45,medium
CUST_000093,DE,125,408,No,No,0,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59,1,0,train,0,0,593.8,319,53.78999999999999,0.0905860559110811,0.008,0,medium_usage,low_value,10,low
CUST_000094,ME,36,510,Yes,Yes,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0,1,train,1,1,610.0,343,66.75,0.1094262295081967,0.0,0,medium_usage,high_value,35,medium
CUST_000095,NJ,64,510,No,No,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,0,train,0,0,386.6,317,47.010000000000005,0.1215985514743921,0.015625,0,low_usage,low_value,10,low
CUST_000096,NV,74,415,No,No,0,282.5,114,48.03,219.9,48,18.69,170.0,115,7.65,9.4,4,2.54,1,1,train,0,0,681.8,281,76.91000000000001,0.1128043414491053,0.0135135135135135,0,high_usage,high_value,25,low
CUST_000097,MO,112,510,No,Yes,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10.0,3,2.7,2,0,train,0,1,458.8,320,43.41,0.0946163905841325,0.0178571428571428,0,low_usage,low_value,0,low
CUST_000098,NE,46,408,No,No,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9.0,13.1,7,3.54,1,0,train,0,0,650.7,292,67.59,0.1038727524204702,0.0217391304347826,0,high_usage,high_value,25,low
CUST_000099,TX,41,408,No,Yes,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,0,train,0,1,505.0,314,56.74,0.1123564356435643,0.0,0,low_usage,medium_value,0,low
CUST_000100,MD,121,510,No,No,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,0,train,0,0,604.8,327,60.61,0.100214947089947,0.024793388429752,0,medium_usage,medium_value,10,low
CUST_000101,MS,193,415,No,No,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,0,train,0,0,427.7000000000001,311,48.51,0.1134206219312602,0.005181347150259,0,low_usage,low_value,10,low
CUST_000102,NV,130,510,No,No,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,0,train,0,0,501.0,339,48.29,0.0963872255489022,0.0153846153846153,0,low_usage,low_value,10,low
CUST_000103,AZ,85,408,No,No,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12.0,3,3.24,1,0,train,0,0,695.3,265,68.33999999999999,0.0982885085574572,0.0117647058823529,0,high_usage,high_value,25,low
CUST_000104,MS,162,415,No,No,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,1,train,0,0,392.1,280,34.84,0.0888548839581739,0.0246913580246913,1,low_usage,low_value,45,medium
CUST_000105,MS,61,510,No,Yes,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,1,train,0,1,566.1999999999999,362,56.23,0.099311197456729,0.0655737704918032,1,medium_usage,medium_value,35,medium
CUST_000106,TX,92,408,No,No,0,91.7,90,15.59,193.7,123,16.46,175.0,86,7.88,9.2,4,2.48,2,0,train,0,0,469.6,303,42.41,0.0903109028960817,0.0217391304347826,0,low_usage,low_value,10,low
CUST_000107,NE,131,408,No,Yes,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,0,train,0,1,650.0999999999999,338,64.63,0.0994154745423781,0.0229007633587786,0,high_usage,high_value,0,low
CUST_000108,NE,90,415,No,No,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,0,train,0,0,521.0,331,52.78999999999999,0.1013243761996161,0.0333333333333333,0,low_usage,low_value,10,low
CUST_000109,NJ,78,415,No,No,0,231.0,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,0,train,0,0,732.3,378,73.17999999999999,0.0999317219718694,0.0128205128205128,0,high_usage,high_value,25,low
CUST_000110,TX,82,408,No,No,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,0,train,0,0,614.7,259,62.34,0.1014153245485602,0.048780487804878,1,medium_usage,medium_value,45,medium
CUST_000111,AR,163,408,No,No,0,197.0,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,0,train,0,0,615.1,327,62.46,0.1015444643147455,0.0061349693251533,0,medium_usage,medium_value,10,low
CUST_000112,AL,91,510,Yes,No,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,0,train,1,0,561.6000000000001,328,50.95,0.0907229344729344,0.0329670329670329,0,medium_usage,low_value,30,low
CUST_000113,NY,75,415,No,Yes,21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5,0,train,0,1,636.0999999999999,341,60.49999999999999,0.0951108316302468,0.0666666666666666,1,high_usage,medium_value,35,medium
CUST_000114,FL,91,510,No,No,0,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12.0,3,3.24,3,0,train,0,0,620.8,351,64.42999999999999,0.1037854381443298,0.0329670329670329,0,medium_usage,high_value,10,low
CUST_000115,AK,127,510,No,Yes,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,0,train,0,1,584.5,272,56.790000000000006,0.0971599657827202,0.0078740157480314,0,medium_usage,medium_value,0,low
CUST_000116,NV,113,415,No,Yes,23,205.0,101,34.85,152.0,60,12.92,158.6,59,7.14,10.2,5,2.75,2,0,train,0,1,525.8000000000001,225,57.66,0.109661468238874,0.0176991150442477,0,low_usage,medium_value,0,low
